userid,itemid,raiting,timestamp
561,3,3,885810390
537,750,3,886028498
607,275,4,883879756
717,237,5,884642400
790,496,3,885155172
711,16,5,886031006
687,895,4,884652331
859,1095,2,885775513
493,338,4,884130032
201,182,4,884111485
783,271,5,884326506
845,1022,2,885409493
561,173,4,885807393
826,768,3,885690442
642,102,5,885603849
502,271,5,883702088
524,70,4,884636519
905,245,3,884983273
435,496,4,884131243
199,813,3,883782807
258,294,4,885700898
790,215,2,885157797
201,506,4,884114471
724,349,2,883757537
808,262,5,883949986
537,478,4,886030938
311,380,4,884366067
405,942,1,885546336
665,186,4,884293569
500,831,3,883866004
790,1048,4,884462692
727,1034,2,883713692
246,133,3,884921705
94,172,4,885870175
790,977,1,885158208
727,157,3,883711965
380,151,4,885478759
198,230,3,884209073
537,305,4,886028498
405,571,5,885547605
521,324,2,886059923
746,127,2,885075243
311,417,3,884366035
746,685,3,885075304
727,570,2,883713194
561,455,3,885808766
318,121,1,884495052
859,1061,4,885776056
790,552,2,885157984
561,268,3,885806710
176,293,5,886048040
790,188,4,885157399
630,193,3,885667939
846,451,4,883949379
537,789,2,886030805
311,699,4,884365075
693,313,5,885703726
724,301,4,883757670
727,526,4,883711113
130,347,4,884623800
593,744,3,886193049
905,328,3,884983034
537,647,4,886030891
899,751,4,884120724
846,135,4,883947694
508,179,4,883767465
537,277,2,886029973
885,239,3,885713609
642,651,4,885602571
860,153,4,885990965
790,776,3,885155119
521,226,4,884478721
919,690,3,885059658
246,616,5,884922475
405,381,1,885547222
731,434,1,886186811
885,65,2,885714336
642,2,4,885606787
924,174,5,885458009
707,953,4,886288015
642,801,3,885605794
846,528,5,883948417
397,665,3,885349348
99,310,3,885678348
790,66,3,885156560
561,4,3,885809044
746,684,4,885075337
826,391,4,885690854
25,408,5,885852920
790,96,3,885155648
826,343,5,885690046
524,1074,2,884637128
374,288,4,885107876
619,827,3,885953878
899,660,4,884122564
727,88,5,883711394
790,781,4,885157107
885,95,4,885714933
707,174,2,886286133
679,28,5,884486732
846,50,5,883948003
25,419,4,885852218
845,900,3,885409719
481,252,4,885828016
657,9,4,884239123
679,154,4,884486658
707,660,5,886287107
545,77,3,884134704
57,845,4,883697253
524,466,4,884636583
493,1016,4,884130550
836,419,2,885753979
499,257,5,885598342
921,8,3,884673699
826,435,4,885690677
630,325,3,885666301
112,313,5,884992444
790,181,4,884461283
435,265,3,884131996
198,181,4,884205050
846,1148,3,883950220
417,322,3,886186468
541,405,3,883871695
846,507,3,883947861
679,153,2,884486904
790,762,5,884462105
487,783,4,884045361
671,802,3,884036411
311,231,4,884365746
783,258,4,884326348
201,441,1,884112537
508,232,3,883777109
846,486,5,883948948
43,208,5,883955547
380,272,4,885477742
397,186,5,885349955
790,41,3,885158235
846,1473,5,883949335
648,637,2,884883424
846,71,4,883948141
846,393,3,883949547
397,652,3,885350326
846,552,4,883950634
328,1401,2,885046537
642,783,4,885606024
406,491,4,884631010
521,87,3,884478314
846,719,2,883949643
328,159,3,885047194
201,366,2,884141015
226,286,4,883888600
846,72,4,883950129
345,628,3,884991105
541,66,4,883865929
145,310,4,883840666
514,511,3,886189990
746,172,5,885075165
537,129,3,886029889
328,69,4,885045844
790,940,3,885157928
724,876,1,883757784
630,550,3,885667968
899,230,4,884122472
846,746,3,883949254
665,660,4,884294935
380,845,4,885479706
935,476,4,884472465
813,901,1,883752708
537,837,3,886031211
693,855,2,883975636
416,1011,4,885114897
727,845,3,883709325
584,230,4,885774171
707,949,3,886287191
819,268,4,884012614
885,418,4,885714933
846,102,2,883950286
899,2,3,884122563
604,441,2,883668261
523,1047,5,883702800
328,235,3,885048464
924,523,5,885458121
435,58,3,884131328
746,8,4,885075539
707,811,4,886287531
935,284,4,884472673
846,780,4,883949380
500,183,4,883873461
435,144,4,884131085
724,1062,1,883758208
271,654,5,885848475
919,887,3,885059452
727,398,2,883713714
846,679,3,883948989
461,258,4,885355735
899,218,4,884122155
630,932,2,885667108
846,1248,4,883949254
885,91,3,885714820
352,431,2,884289728
251,125,4,886272346
707,1642,5,886286491
940,193,3,885921893
642,237,5,885603870
404,750,3,883790750
119,204,4,886177659
790,1091,1,885157728
846,1118,5,883948495
919,347,3,885059569
905,282,3,884983889
524,570,4,884637128
524,523,4,884634615
642,571,3,885606113
397,298,4,885349348
707,1211,4,886287268
940,568,3,885921870
935,100,3,884472110
940,14,3,885921710
899,172,4,884121089
925,5,4,884718156
286,330,5,884069544
940,205,3,885921243
846,967,3,883950791
940,272,4,884801316
846,727,4,883948873
152,88,5,884035964
405,44,1,885548670
790,25,2,884461925
487,802,4,884051006
846,469,2,883949290
846,190,5,883947694
940,655,4,885921775
258,877,3,885701044
271,470,3,885848707
859,294,3,885775218
345,1007,5,884994119
537,1166,2,886031886
17,628,1,885272724
688,359,5,884153606
435,44,2,884132619
899,640,1,884122228
653,225,1,886052230
846,1311,2,883950712
924,127,3,884371438
584,249,4,885774551
905,300,4,884983556
846,219,4,883948607
452,663,2,885817516
826,510,4,885690677
940,315,4,884801125
642,742,5,885602839
141,1282,3,884585320
681,1176,4,885409515
885,195,4,885715827
617,567,2,883789747
869,240,4,884491734
642,780,5,885606270
544,288,2,884795135
885,56,3,885714641
826,678,4,885689942
435,687,2,884130834
826,570,4,885690790
537,714,3,886031886
671,779,3,884036683
499,527,5,885599307
846,2,5,883948949
846,588,4,883949380
428,315,5,885943980
846,654,5,883948089
521,751,3,884475485
790,228,3,885156647
940,66,4,885922016
561,542,1,885810858
885,173,4,885713357
648,161,3,884882802
919,596,3,885059887
201,10,3,884114169
899,282,5,884120007
768,310,4,883835026
320,185,4,884751141
924,195,5,886065785
452,100,5,885544109
825,243,4,884642187
561,603,4,885807842
414,886,4,884999286
524,715,4,884636182
405,1577,1,885549506
296,114,5,884198772
499,588,4,885599334
541,584,3,883874646
846,1179,2,883949121
899,250,2,884120105
561,1044,2,885810834
630,216,5,885667968
846,387,3,883950634
